User ID,Age,Gender,Marital status,Highest level of education completed?,Ownership of land/plot,Ownership of land with certificates,Ownership of mobile phone,Salaries/wages,Trading/selling produce,Service providing income,Piece work/Casual labor,Rental income,Interest from savings/investments,Pension,Social welfare grant,Receive money from others,Expenses covered by others,Other income,Employment type,Main items sold,Main services provided,Sent money in last 12 months?,Last time sent money,Received money in last 12 months?,Last time received money,Frequency of mobile money usage for purchases,Frequency of mobile money usage for bill payment,Literacy in Kiswahili,Literacy in English,Latitude,Longitude,Use of mobile money,Savings behavior,Borrowing behavior,Insurance ownership,Mobile money classification
2758,18,Female,Single/never married,Some secondary,You do not own or rent the land,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Yes,6 months or longer ago,Yes,6 months or longer ago,Never,Not applicable,Can read and write,Can read and write,-3.61949115,33.81397392,Yes,Yes,Yes,No,Uses both
2536,29,Female,Married,University or other higher education,You personally own the land/plot where you live,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Yes,In the past 90 days,Yes,More than 90 days ago but less than 6 months ago,Never,Never,Can read and write,Can neither read nor write,-8.8474963,34.82358667,Yes,No,No,No,Uses mobile money only
8863,28,Male,Married,Primary completed,A household member owns the land/plot,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-10.74350336,34.73308437,No,Yes,Yes,No,Does not use mobile money
5469,17,Female,Married,Some primary,You do not own or rent the land,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-8.29591748,31.50903394,No,No,No,No,Does not use any financial service
3543,22,Female,Single/never married,University or other higher education,You do not own or rent the land,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,Yes,In the past 90 days,Yes,In the past 30 days,Never,Not applicable,Can read and write,Can read and write,-6.16905276,39.19848943,Yes,No,No,No,Uses mobile money only
6554,53,Female,Married,Primary completed,You personally own the land/plot where you live,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-1.33874499,30.90011959,No,No,No,No,Does not use any financial service
7769,21,Female,Single/never married,University or other higher education,A household member owns the land/plot,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Never,Not applicable,Can read and write,Can read and write,-10.48837106,39.02761703,Yes,No,No,No,Uses mobile money only
4226,24,Female,Single/never married,Primary completed,You personally own the land/plot where you live,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,"Things you make (clothes, art, crafts)",Not applicable,Yes,In the past 90 days,Yes,6 months or longer ago,Never,Not applicable,Can read and write,Can read and write,-3.18034209,36.86123796,Yes,Yes,Yes,No,Uses both
6997,38,Male,Single/never married,Some primary,You own the land/plot together with someone else,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-1.26182551,30.67859149,Yes,Yes,Yes,No,Uses both
987,30,Female,Widowed,Primary completed,You personally own the land/plot where you live,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,"Things you make (clothes, art, crafts)",Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can read and write,-7.7826408,35.66559916,Yes,Yes,No,No,Uses both
5576,27,Female,Married,Primary completed,You personally own the land/plot where you live,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,In the past 30 days,Less often than monthly,Not applicable,Can read and write,Can neither read nor write,-4.61491779,29.78760859,Yes,Yes,No,No,Uses both
2272,42,Female,Married,Primary completed,A household member owns the land/plot,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,6 months or longer ago,Never,Not applicable,Can read and write,Can neither read nor write,-2.59741921,32.91360135,Yes,No,Yes,No,Uses both
8277,44,Male,Married,No formal education,A household member owns the land/plot,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Never,Not applicable,Can neither read nor write,Can neither read nor write,-10.91885915,38.0026558,Yes,Yes,No,No,Uses both
3007,76,Female,Married,No formal education,You personally own the land/plot where you live,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-8.87183105,34.95540407,No,Yes,No,No,Does not use mobile money
915,19,Male,Single/never married,Primary completed,A household member owns the land/plot,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-5.07269918,38.45452481,Yes,No,Yes,No,Uses both
1335,29,Female,Married,Primary completed,You do not own or rent the land,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,"Personal services (hairdressers, massage, etc.)",Yes,More than 90 days ago but less than 6 months ago,Yes,In the past 90 days,Never,Not applicable,Can read and write,Can read and write,-7.77454325,35.69337587,Yes,Yes,Yes,No,Uses both
1251,20,Female,Single/never married,Primary completed,The land/plot is rented,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Yes,In the past 7 days,No,Not applicable,Never,Not applicable,Can read and write,Can write only,-6.21997069,39.23239912,Yes,Yes,Yes,No,Uses both
5036,26,Female,Divorced,Primary completed,You do not own or rent the land,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Individual who owns his own business,Not applicable,Not applicable,Yes,In the past 90 days,Yes,More than 90 days ago but less than 6 months ago,Never,Not applicable,Can read and write,Can read and write,-1.3240641,31.79062686,Yes,Yes,Yes,No,Uses both
599,44,Female,Divorced,Primary completed,You do not own or rent the land,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"Hospitality /Accommodation, restaurants, etc.",Yes,6 months or longer ago,Yes,In the past 7 days,Less often than monthly,Not applicable,Refused to read,Refused to read,-3.35223512,37.34738616,Yes,Yes,Yes,Yes,Uses both
794,32,Female,Single/never married,Some primary,You do not own or rent the land,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Other,Not applicable,Yes,In the past 7 days,Yes,Yesterday/today,Weekly,Not applicable,Refused to read,Refused to read,-6.81906576,37.64553234,Yes,Yes,Yes,No,Uses both
3158,53,Female,Divorced,No formal education,You personally own the land/plot where you live,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Things you buy from others - agricultural products,Not applicable,Yes,In the past 30 days,No,Not applicable,Monthly,Not applicable,Can read and write,Can neither read nor write,-4.29046851,35.85896743,Yes,No,No,No,Uses mobile money only
3959,46,Male,Married,Primary completed,You personally own the land/plot where you live,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-2.76226635,33.61667942,Yes,Yes,No,No,Uses both
1241,35,Female,Single/never married,Primary completed,The land/plot is rented,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Things you buy from others - non-agricultural products,Not applicable,Yes,In the past 30 days,Yes,In the past 90 days,Never,Monthly,Can read and write,Can read and write,-8.89881746,33.54752,Yes,No,Yes,No,Uses both
4986,47,Male,Divorced,Primary completed,You personally own the land/plot where you live,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can read only,-3.83143513,32.68175493,No,No,Yes,Yes,Does not use mobile money
4109,20,Female,Married,No formal education,A household member owns the land/plot,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,In the past 7 days,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-8.56809005,32.12579976,Yes,No,No,No,Uses mobile money only
8121,86,Male,Married,No formal education,A household member owns the land/plot,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-11.46744994,36.97928803,No,Yes,No,No,Does not use mobile money
3895,18,Male,Single/never married,Primary completed,You do not own or rent the land,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Refused to read,Can read and write,-4.09021965,34.73737265,No,Yes,No,No,Does not use mobile money
8054,19,Male,Divorced,Some primary,A household member owns the land/plot,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Yes,In the past 7 days,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-10.5117961,38.99460256,Yes,Yes,Yes,No,Uses both
8023,31,Female,Married,Primary completed,You do not own or rent the land,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-5.03547203,36.23767486,No,No,Yes,No,Does not use mobile money
6933,30,Male,Married,Some primary,You do not own or rent the land,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Fish you catch yourself/aquaculture,Not applicable,No,Not applicable,Yes,In the past 90 days,Never,Not applicable,Refused to read,Refused to read,-2.40257714,32.32959157,Yes,No,Yes,No,Uses both
7852,17,Female,Married,Primary completed,You do not own or rent the land,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can write only,Can write only,-3.8083338,32.2274935,No,No,Yes,Yes,Does not use mobile money
6063,30,Female,Married,No formal education,A household member owns the land/plot,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-8.53949832,32.94378634,No,No,Yes,No,Does not use mobile money
755,37,Female,Married,University or other higher education,You do not own or rent the land,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,In the past 90 days,Yes,In the past 30 days,Weekly,Not applicable,Can read and write,Can read and write,-4.8332572,34.76190104,Yes,Yes,Yes,No,Uses both
6445,38,Female,Married,No formal education,You own the land/plot together with someone else,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-5.71743656,38.23601851,Yes,No,No,No,Uses mobile money only
8548,35,Male,Single/never married,Primary completed,The land/plot is rented,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-8.60398999,39.26018757,Yes,Yes,No,No,Uses both
1549,20,Female,Divorced,Primary completed,A household member owns the land/plot,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Work for individual/household e.g. security guard, maid etc.",Not applicable,Not applicable,No,Not applicable,No,Not applicable,Less often than monthly,Not applicable,Can read and write,Can neither read nor write,-2.54540703,32.95831634,Yes,No,No,No,Uses mobile money only
6617,29,Female,Married,Primary completed,You personally own the land/plot where you live,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can read and write,-3.87132116,35.65140707,No,Yes,No,No,Does not use mobile money
8467,35,Male,Married,Primary completed,You personally own the land/plot where you live,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Private company/business,Crops/produce I grow,Not applicable,Yes,In the past 7 days,No,Not applicable,Monthly,Monthly,Can read and write,Can read only,-8.56409232,35.33905815,Yes,Yes,Yes,No,Uses both
4116,46,Female,Divorced,Primary completed,You personally own the land/plot where you live,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,In the past 30 days,Yes,In the past 30 days,Never,Not applicable,Can read and write,Can neither read nor write,-4.22585093,34.61299078,Yes,Yes,Yes,Yes,Uses both
8125,25,Male,Married,Primary completed,The land/plot is rented,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,In the past 7 days,Never,Not applicable,Can read and write,Can neither read nor write,-8.95365989,32.56461543,Yes,No,No,No,Uses mobile money only
1044,31,Female,Married,No formal education,You own the land/plot together with someone else,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-3.99684717,33.37908427,No,Yes,Yes,No,Does not use mobile money
2535,21,Female,Married,Primary completed,You do not own or rent the land,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Things you buy from others - non-agricultural products,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-2.61146616,32.07196443,No,No,Yes,No,Does not use mobile money
8950,39,Female,Married,Primary completed,You do not own or rent the land,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Not applicable,"Things you make (clothes, art, crafts)",Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-8.97814972,36.76014005,No,Yes,Yes,No,Does not use mobile money
6099,23,Male,Married,Some primary,A household member owns the land/plot,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,6 months or longer ago,No,Not applicable,Less often than monthly,Not applicable,Can read and write,Can neither read nor write,-2.34096694,32.29512438,Yes,Yes,Yes,No,Uses both
5607,21,Male,Single/never married,Primary completed,A household member owns the land/plot,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,6 months or longer ago,Less often than monthly,Not applicable,Can read and write,Can read only,-3.4327519,31.51375467,Yes,No,Yes,No,Uses both
8734,25,Male,Married,Primary completed,You personally own the land/plot where you live,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Fish you catch yourself/aquaculture,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can read only,-8.12810763,30.96696583,No,No,Yes,No,Does not use mobile money
4734,72,Male,Married,No formal education,A household member owns the land/plot,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-6.2650312,36.86940735,No,No,Yes,No,Does not use mobile money
7776,65,Female,Divorced,No formal education,You personally own the land/plot where you live,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Livestock,Not applicable,No,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Never,Not applicable,Can neither read nor write,Can neither read nor write,-10.48861938,39.02782579,Yes,No,Yes,No,Uses both
9367,54,Female,Married,Some primary,You own the land/plot together with someone else,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-4.02596301,34.50822471,No,No,No,No,Does not use any financial service
3423,32,Male,Married,Primary completed,You personally own the land/plot where you live,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,Yesterday/today,Never,Not applicable,Can read and write,Can neither read nor write,-8.57148856,33.44991499,Yes,Yes,No,No,Uses both
2878,24,Male,Single/never married,Some primary,You do not own or rent the land,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Things you buy from others - non-agricultural products,Not applicable,Yes,In the past 7 days,Yes,In the past 30 days,Never,Not applicable,Can read and write,Can neither read nor write,-2.50670896,32.0118141,Yes,Yes,No,No,Uses both
2356,24,Female,Single/never married,Do not know,You personally own the land/plot where you live,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,Yes,In the past 7 days,Yes,More than 90 days ago but less than 6 months ago,Never,Never,Can read and write,Can read and write,-3.363681,36.72002605,Yes,Yes,Yes,No,Uses both
229,34,Male,Married,University or other higher education,A household member owns the land/plot,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Government,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Monthly,Daily,Can read and write,Can read and write,-6.96839746,39.08681603,Yes,Yes,Yes,Yes,Uses both
3406,46,Female,Married,Primary completed,A household member owns the land/plot,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-6.37275189,38.35172048,No,Yes,Yes,No,Does not use mobile money
771,31,Female,Married,No formal education,A household member owns the land/plot,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-3.25233472,30.9082292,No,No,No,No,Does not use any financial service
580,26,Male,Single/never married,Primary completed,You do not own or rent the land,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"Technical - mechanic, etc.",Yes,In the past 30 days,Yes,In the past 30 days,Never,Less often than monthly,Can read and write,Can neither read nor write,-10.66296868,35.65686511,Yes,No,Yes,No,Uses both
6163,45,Female,Married,Primary completed,You personally own the land/plot where you live,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-2.8528492,32.88685392,Yes,No,Yes,No,Uses both
6212,31,Male,Married,University or other higher education,You personally own the land/plot where you live,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"Technical - mechanic, etc.",No,Not applicable,No,Not applicable,Never,Never,Can read and write,Refused to read,-10.46735817,36.13244508,Yes,Yes,No,No,Uses both
8574,23,Male,Single/never married,Primary completed,A household member owns the land/plot,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Monthly,Not applicable,Can read only,Can read only,-6.87575725,39.2326073,Yes,Yes,No,No,Uses both
8278,31,Female,Married,Primary completed,The land/plot is rented,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,Yes,In the past 7 days,Never,Not applicable,Can read and write,Can neither read nor write,-6.88329466,39.25354774,Yes,Yes,Yes,No,Uses both
3919,38,Female,Married,No formal education,You do not own or rent the land,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-3.821738,33.30840363,No,No,Yes,No,Does not use mobile money
8883,45,Male,Married,University or other higher education,You personally own the land/plot where you live,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Government,Crops/produce I grow,Not applicable,No,Not applicable,Yes,In the past 7 days,Never,Monthly,Can read and write,Can read and write,-11.263398,34.79128086,Yes,Yes,Yes,Yes,Uses both
5677,27,Male,Married,Some primary,You personally own the land/plot where you live,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can read only,-7.85425891,31.1757775,No,No,Yes,No,Does not use mobile money
9209,32,Female,Married,Primary completed,The land/plot is rented,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,In the past 90 days,Yes,In the past 30 days,Never,Not applicable,Can read and write,Can write only,-4.26860253,38.05357002,Yes,Yes,No,No,Uses both
7050,25,Male,Married,University or other higher education,You personally own the land/plot where you live,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,In the past 30 days,Less often than monthly,Not applicable,Can read and write,Can read and write,-11.40079283,36.42848862,Yes,No,No,No,Uses mobile money only
1531,26,Male,Divorced,Do not know,You do not own or rent the land,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,"Other, specify",No,Not applicable,Yes,In the past 30 days,Less often than monthly,Not applicable,Can read and write,Can read and write,-6.14814684,39.2228004,Yes,No,Yes,No,Uses both
7922,30,Male,Single/never married,Primary completed,A household member owns the land/plot,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-8.79798017,34.99025617,No,Yes,No,No,Does not use mobile money
4397,18,Male,Single/never married,No formal education,A household member owns the land/plot,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-6.29072293,35.88227777,No,No,No,Yes,Does not use mobile money
3170,28,Male,Divorced,Primary completed,The land/plot is rented,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Things you buy from others - non-agricultural products,Not applicable,Yes,6 months or longer ago,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-4.57358799,33.03776076,Yes,No,Yes,No,Uses both
6376,35,Female,Married,Some secondary,You personally own the land/plot where you live,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Never,Can read and write,Refused to read,-5.24594851,39.78153458,No,No,No,No,Does not use any financial service
5472,50,Female,Married,Primary completed,A household member owns the land/plot,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,In the past 30 days,No,Not applicable,Never,Not applicable,Can read and write,Can read and write,-3.20246304,37.20556708,Yes,Yes,Yes,No,Uses both
9138,30,Female,Divorced,Primary completed,A household member owns the land/plot,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Less often than monthly,Not applicable,Can read and write,Can neither read nor write,-10.75077606,38.53076548,Yes,No,No,No,Uses mobile money only
6020,48,Male,Married,Primary completed,You personally own the land/plot where you live,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can neither read nor write,-6.57002874,35.51702142,No,No,No,No,Does not use any financial service
8658,23,Female,Married,Primary completed,The land/plot is rented,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Never,Can read and write,Can neither read nor write,-6.9315708,39.2627114,No,No,No,No,Does not use any financial service
919,27,Female,Married,Some primary,A household member owns the land/plot,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,No,Not applicable,Monthly,Not applicable,Can read and write,Can neither read nor write,-5.95904711,36.69328201,No,No,No,No,Does not use any financial service
